method,time
RSR,0.0002243518829345703
Standard,0.0003314018249511719
RSR,0.00022673606872558594
Standard,0.00030612945556640625
RSR,0.00020956993103027344
Standard,0.000842648656728345
RSR,0.00021576881408691406
Standard,0.00031685829162597656
RSR,0.00019931793212890625
Standard,0.0005907993898195753
RSR,0.00019884109497070312
Standard,0.0003437995910644531
RSR,0.000217437744140625
Standard,0.0007895166568056978
RSR,0.00025200843811035156
Standard,0.00029206275939941406
RSR,0.0002815723419189453
Standard,0.00033473968505859375
RSR,0.0002574920654296875
Standard,0.0003209114074707031
RSR,0.0002110004425048828
Standard,0.000891770649219097
RSR,0.00022125244140625
Standard,0.0009891882594373692
RSR,0.0001926422119140625
Standard,0.0004427974823357219
RSR,0.000209808349609375
Standard,0.0009109122082251548
RSR,0.0002944469451904297
Standard,0.0003445148468017578
RSR,0.0002493858337402344
Standard,0.0003046989440917969
RSR,0.00022649765014648438
Standard,0.00030517578125
RSR,0.00024080276489257812
Standard,0.0003654956817626953
RSR,0.0002033710479736328
Standard,0.0007713309528811608
RSR,0.0002586841583251953
Standard,0.00028133392333984375
RSR,0.0002129077911376953
Standard,0.0002808570861816406
RSR,0.00023555755615234375
Standard,0.00030350685119628906
RSR,0.00020766258239746094
Standard,0.00035691261291503906
RSR,0.00021600723266601562
Standard,0.00030684471130371094
RSR,0.0002219676971435547
Standard,0.0003123283386230469
RSR,0.00021195411682128906
Standard,0.00030112266540527344
RSR,0.00021314620971679688
Standard,0.0002942085266113281
RSR,0.0002307891845703125
Standard,0.0007616309751292768
RSR,0.00022125244140625
Standard,0.00032258033752441406
RSR,0.0002117156982421875
Standard,0.00029087066650390625
RSR,0.0002567768096923828
Standard,0.0003514289855957031
RSR,0.000247955322265625
Standard,0.00011301040649414062
RSR,0.00020074844360351562
Standard,0.00022375726286991636
RSR,0.00021147727966308594
Standard,0.0002094383991412193
RSR,0.000209808349609375
Standard,0.0008794968241710872
RSR,0.00021123886108398438
Standard,0.00028514862060546875
RSR,0.00022220611572265625
Standard,0.0008089150718916601
RSR,0.00022482872009277344
Standard,0.000308990478515625
RSR,0.0002944469451904297
Standard,0.0004297045931200266
RSR,0.0002415180206298828
Standard,0.00028777122497558594
RSR,0.00021600723266601562
Standard,0.00032639503479003906
RSR,0.00022292137145996094
Standard,0.0003635883331298828
RSR,0.0004222393035888672
Standard,0.0003457069396972656
RSR,0.0002467632293701172
Standard,0.00034737586975097656
RSR,0.00023937225341796875
Standard,0.00033283233642578125
RSR,0.0002300739288330078
Standard,0.00036787986755371094
RSR,0.00021719932556152344
Standard,0.0002994537353515625
RSR,0.00021600723266601562
Standard,0.00034356117248535156
RSR,0.0002391338348388672
Standard,0.0006900941285008474
RSR,0.00021386146545410156
Standard,0.0003418922424316406
RSR,0.0002071857452392578
Standard,0.00031948089599609375
RSR,0.0002613067626953125
Standard,0.0003159046173095703
RSR,0.00022459030151367188
Standard,0.0008188940178412162
RSR,0.00021529197692871094
Standard,0.0003719329833984375
RSR,0.0002086162567138672
Standard,0.0003173351287841797
RSR,0.00021457672119140625
Standard,0.00038933753967285156
RSR,0.00021719932556152344
Standard,0.00030422210693359375
