Vector Length,Naive Time (s),RSR Time (s),Speedup (RSR/Naive)
1024,0.0030292738787829876,0.00819253055844456,0.3697604613339554
2048,0.03660382214002311,0.023617770802229644,1.5498423812533364
4096,0.18480874788947405,0.07770808897912503,2.3782433761705275
8192,0.9146595317870378,0.2672940888442099,3.4219220325524646
16384,4.801587448921055,0.9439752041362226,5.086560990036503
32768,20.827909795101732,3.3751350841484964,6.17098553859996
65536,62.20041206013411,11.876352339982986,5.237333002552467
